target_acc	min_dist_same	min_dist_opp	PDS_acc
PDT000009966.1	1	27	PDS000000458.1
PDT000009488.1			
PDT000009774.1	10		PDS000000146.1
PDT000010023.1	4	4	PDS000000012.2
PDT000010003.1	5	0	PDS000000457.1
PDT000010245.1	2	3	PDS000000352.1
PDT000009180.1	3	33	PDS000000483.1
PDT000010063.1			
PDT000010143.1	0	2	PDS000000403.1
PDT000010021.1	9	9	PDS000000352.1
PDT000009616.1			
PDT000009145.1	8		PDS000000452.1
PDT000009589.1	4	4	PDS000000012.2
PDT000009840.1	17		PDS000000494.1
PDT000009819.1			
PDT000009306.1	19		PDS000000181.1
PDT000010094.1	2	2	PDS000000012.2
PDT000009212.1	3	17	PDS000000014.2
PDT000010173.1	1	1	PDS000000132.1
PDT000009917.1	1	6	PDS000000132.1
PDT000009814.1	13	26	PDS000000445.1
PDT000009738.1	0	18	PDS000000132.1
PDT000010067.1	8	8	PDS000000012.2
PDT000009308.1			
PDT000009535.1	14	19	PDS000000081.2
PDT000009794.1			
PDT000009652.1	8	5	PDS000000132.1
PDT000009395.1			
PDT000009751.1			
PDT000009890.1	4	5	PDS000000500.1
PDT000010192.1	1	18	PDS000000445.1
PDT000009987.1	4	42	PDS000000445.1
PDT000010234.1	16	56	PDS000000470.1
PDT000009837.1	3	18	PDS000000010.2
PDT000009429.1		4	PDS000000359.1
PDT000009310.1	21	23	PDS000000132.1
PDT000009879.1	5	45	PDS000000470.1
PDT000009715.1	5	0	PDS000000132.1
PDT000009957.1	1	4	PDS000000012.2
PDT000010232.1	0	0	PDS000000012.2
PDT000009420.1	14	36	PDS000000081.2
PDT000009177.1	4		PDS000000452.1
PDT000009855.1	0	42	PDS000000445.1
PDT000009243.1	9		PDS000000508.1
PDT000009319.1	27		PDS000000456.1
PDT000010203.1	0	9	PDS000000132.1
PDT000010099.1	0	0	PDS000000012.2
PDT000009325.1	26	47	PDS000000126.2
PDT000009299.1	21	132	PDS000000608.1
PDT000009571.1	5	16	PDS000000132.1
PDT000009752.1	25	20	PDS000000483.1
PDT000009415.1	12	42	PDS000000445.1
PDT000009969.1	3	42	PDS000000016.2
PDT000010182.1	5	11	PDS000000132.1
PDT000009657.1			
PDT000009217.1	3	30	PDS000000483.1
PDT000009357.1	2	13	PDS000000132.1
PDT000009783.1	15	30	PDS000000445.1
PDT000009758.1	1		PDS000000473.1
PDT000009516.1	14	19	PDS000000037.2
PDT000009458.1		14	PDS000000088.2
PDT000009541.1			
PDT000009999.1	0	0	PDS000000012.2
PDT000009757.1	4	4	PDS000000012.2
PDT000009374.1			
PDT000009462.1	15		PDS000000482.1
PDT000009938.1	3	39	PDS000000016.2
PDT000009540.1			
PDT000009491.1	13	21	PDS000000037.2
PDT000009929.1	42		PDS000000453.1
PDT000009737.1			
PDT000010034.1	16	18	PDS000000445.1
PDT000010216.1	0	0	PDS000000012.2
PDT000009795.1	52		PDS000000479.1
PDT000010032.1	7	9	PDS000000012.2
PDT000009471.1	14	19	PDS000000081.2
PDT000009227.1	0	15	PDS000000066.2
PDT000009675.1			
PDT000010167.1	4		PDS000000452.1
PDT000009171.1	0	19	PDS000000445.1
PDT000009573.1	12	14	PDS000000081.2
PDT000009904.1	3	37	PDS000000451.1
PDT000009706.1	15		PDS000000481.1
PDT000009851.1		38	PDS000000306.1
PDT000009207.1	13	12	PDS000000037.2
PDT000010188.1	1	2	PDS000000132.1
PDT000009532.1	13		PDS000000446.1
PDT000009578.1	20	8	PDS000000066.2
PDT000009553.1			
PDT000010227.1	0	19	PDS000000445.1
PDT000009945.1	1	4	PDS000000450.1
PDT000009461.1			
PDT000009252.1	29		PDS000000449.1
PDT000010288.1	9	8	PDS000000500.1
PDT000009912.1	2		PDS000000448.1
PDT000009492.1		17	PDS000000447.1
PDT000009527.1	24	24	PDS000000066.2
PDT000010205.1			
PDT000009358.1	1		PDS000000446.1
PDT000010196.1	10		PDS000000249.1
PDT000009246.1	6		PDS000000146.1
PDT000009726.1	12	31	PDS000000010.2
PDT000009606.1			
PDT000009209.1	1	8	PDS000000132.1
PDT000010181.1	22	23	PDS000000132.1
PDT000009391.1	17		PDS000000482.1
PDT000009702.1			
PDT000010017.1	0	0	PDS000000012.2
PDT000009562.1	20		PDS000000489.1
PDT000010097.1	11	12	PDS000000012.2
PDT000009543.1			
PDT000010056.1	7	20	PDS000000037.2
PDT000009314.1			
PDT000009817.1		0	PDS000000457.1
PDT000009200.1	2	2	PDS000000132.1
PDT000009925.1	12	53	PDS000000470.1
PDT000009728.1			
PDT000009731.1	2	6	PDS000000500.1
PDT000009597.1	7		PDS000000442.1
PDT000009921.1	6	6	PDS000000352.1
PDT000009451.1	9		PDS000000506.1
PDT000010076.1	4	26	PDS000000458.1
PDT000010292.1	0	26	PDS000000458.1
PDT000009617.1	17		PDS000000146.1
PDT000009985.1	1	3	PDS000000132.1
PDT000009237.1	8	23	PDS000000445.1
PDT000009765.1	12	34	PDS000000445.1
PDT000009316.1	8	8	PDS000000037.2
PDT000009523.1	21	113	PDS000000608.1
PDT000009570.1			
PDT000009859.1	0	0	PDS000000012.2
PDT000010276.1			
PDT000009187.1		27	PDS000000444.1
PDT000009490.1	18		PDS000000491.1
PDT000009402.1	11		PDS000000146.1
PDT000009707.1	18	33	PDS000000010.2
PDT000009828.1			
PDT000009659.1	0	0	PDS000000352.1
PDT000010136.1			
PDT000010001.1	1	5	PDS000000457.1
PDT000009504.1	21	18	PDS000000037.2
PDT000009361.1			
PDT000009245.1	80		PDS000000514.1
PDT000009878.1			
PDT000009975.1	0	42	PDS000000445.1
PDT000010273.1	0	0	PDS000000012.2
PDT000009487.1			
PDT000009671.1	6		PDS000000513.1
PDT000009664.1	7		PDS000000442.1
PDT000010209.1	4	8	PDS000000576.1
PDT000009755.1	26	17	PDS000000037.2
PDT000010246.1	1	42	PDS000000445.1
PDT000009351.1	17	9	PDS000000493.1
PDT000009970.1	6	11	PDS000000006.2
PDT000010257.1	0	0	PDS000000012.2
PDT000009899.1	4	7	PDS000000014.2
PDT000009941.1	11		PDS000000504.1
PDT000009600.1	26	2	PDS000000500.1
PDT000009592.1	30	11	PDS000000483.1
PDT000009736.1	15		PDS000000481.1
PDT000009257.1	24	38	PDS000000006.2
PDT000009249.1	6	23	PDS000000037.2
PDT000010091.1	0	9	PDS000000132.1
PDT000009202.1		25	PDS000000441.1
PDT000009431.1			
PDT000009695.1	14	25	PDS000000419.1
PDT000009838.1			
PDT000009844.1	16	30	PDS000000006.2
PDT000010294.1	5	12	PDS000000016.2
PDT000009688.1	10		PDS000000492.1
PDT000009465.1		25	PDS000000441.1
PDT000009884.1	0	0	PDS000000132.1
PDT000009807.1	11	42	PDS000000006.2
PDT000009390.1	14	19	PDS000000081.2
PDT000009486.1	17		PDS000000440.1
PDT000010026.1	2	0	PDS000000012.2
PDT000010075.1	4	14	PDS000000012.2
PDT000009292.1			
PDT000009330.1			
PDT000010164.1	2	42	PDS000000470.1
PDT000009973.1	5	9	PDS000000014.2
PDT000009521.1			
PDT000009444.1	22	27	PDS000000081.2
PDT000009408.1			
PDT000009502.1	37		PDS000000498.1
PDT000009555.1	27	0	PDS000000084.2
PDT000009777.1			
PDT000009528.1			
PDT000009197.1	0	2	PDS000000012.2
PDT000009958.1	26	17	PDS000000037.2
PDT000009655.1	11		PDS000000461.1
PDT000009582.1			
PDT000010223.1	17	7	PDS000000009.2
PDT000009959.1	2	2	PDS000000012.2
PDT000009724.1	21	24	PDS000000037.2
PDT000010024.1	2	21	PDS000000445.1
PDT000009778.1	10	12	PDS000000311.1
PDT000010261.1	14		PDS000000467.1
PDT000010262.1	10	15	PDS000000066.2
PDT000010263.1	25	25	PDS000000483.1
PDT000010264.1			
PDT000010265.1			
PDT000010266.1	30		PDS000000495.1
PDT000010267.1			
PDT000010268.1	9	35	PDS000000006.2
PDT000010270.1	26		PDS000000025.2
PDT000010297.1	0	14	PDS000000037.2
PDT000010299.1	0	27	PDS000000483.1
PDT000010322.1		0	PDS000000388.1
PDT000010323.1	1	0	PDS000000405.1
PDT000010324.1	58	0	PDS000000405.1
PDT000010325.1	3	0	PDS000000405.1
PDT000010326.1	1	0	PDS000000405.1
PDT000010327.1		0	PDS000000409.1
PDT000010328.1	10	0	PDS000000405.1
PDT000010329.1	1	0	PDS000000405.1
PDT000010330.1	2	0	PDS000000405.1
PDT000010331.1	4	0	PDS000000405.1
PDT000010332.1	2	0	PDS000000405.1
PDT000010333.1	3	0	PDS000000405.1
PDT000010334.1		0	PDS000000408.1
PDT000010335.1	12	0	PDS000000405.1
PDT000010336.1	0	0	PDS000000405.1
PDT000010337.1	0	0	PDS000000405.1
PDT000010338.1	8	0	PDS000000405.1
PDT000010339.1	4	0	PDS000000405.1
PDT000010340.1	0	5	PDS000000405.1
PDT000010341.1	0		PDS000000407.1
PDT000010342.1	0	0	PDS000000405.1
PDT000010343.1	0	0	PDS000000405.1
PDT000010344.1	0	0	PDS000000405.1
PDT000010345.1	1	0	PDS000000405.1
PDT000010346.1	1	0	PDS000000405.1
PDT000010347.1	0	0	PDS000000405.1
PDT000010348.1	1	0	PDS000000405.1
PDT000010349.1	0	0	PDS000000406.1
PDT000010350.1	2	0	PDS000000405.1
PDT000010351.1	0	0	PDS000000405.1
PDT000010352.1	1	0	PDS000000405.1
PDT000010353.1	0	0	PDS000000405.1
PDT000010354.1	1	0	PDS000000405.1
PDT000010355.1	2	0	PDS000000405.1
PDT000010356.1	1	0	PDS000000406.1
PDT000010357.1	0	0	PDS000000405.1
PDT000010358.1	0	0	PDS000000405.1
PDT000010359.1	0	0	PDS000000405.1
PDT000010360.1	4	0	PDS000000406.1
PDT000010361.1	10	0	PDS000000405.1
PDT000010362.1	12	0	PDS000000405.1
PDT000010363.1	0	0	PDS000000405.1
PDT000010364.1	0	0	PDS000000406.1
PDT000010365.1	1	0	PDS000000405.1
PDT000010366.1	0		PDS000000411.1
PDT000010367.1	0		PDS000000411.1
PDT000010368.1	0		PDS000000411.1
PDT000010369.1	0		PDS000000411.1
PDT000010370.1	19	0	PDS000000037.2
PDT000010371.1			
PDT000010372.1	1	20	PDS000000006.2
PDT000010373.1	7	12	PDS000000309.1
PDT000010374.1	3	8	PDS000000309.1
PDT000010375.1	1	21	PDS000000006.2
PDT000010376.1	4		PDS000000439.1
PDT000010377.1	4		PDS000000439.1
PDT000010837.1	12	3	PDS000000131.2
PDT000010846.1	1	1	PDS000000131.2
PDT000010848.1	1	0	PDS000000131.2
PDT000010887.1	1	7	PDS000000127.2
PDT000010890.1	1	8	PDS000000127.2
PDT000010386.1	0	2	PDS000000110.2
PDT000010388.1	45		PDS000000438.1
PDT000010389.1	0	2	PDS000000110.2
PDT000010393.1	4	6	PDS000000110.2
PDT000010395.1	0	6	PDS000000110.2
PDT000010397.1	0	2	PDS000000110.2
PDT000010401.1	1	30	PDS000000436.1
PDT000010402.1	7		PDS000000437.1
PDT000010404.1	3	5	PDS000000110.2
PDT000010406.1	12	12	PDS000000576.1
PDT000010411.1	0	2	PDS000000110.2
PDT000010413.1	3	8	PDS000000110.2
PDT000010420.1	0	11	PDS000000110.2
PDT000010424.1	4	26	PDS000000436.1
PDT000010427.1	1	12	PDS000000110.2
PDT000010430.1	6	17	PDS000000110.2
PDT000010434.1	4	30	PDS000000436.1
PDT000010439.1	2	13	PDS000000110.2
PDT000010442.1	0	12	PDS000000110.2
PDT000010445.1	17	45	PDS000000436.1
PDT000010447.1	2	8	PDS000000110.2
PDT000010449.1	0	11	PDS000000110.2
PDT000010451.1	0	12	PDS000000110.2
PDT000010454.1	0	12	PDS000000110.2
PDT000010456.1	0	6	PDS000000110.2
PDT000010459.1	0	2	PDS000000110.2
PDT000010462.1	1	5	PDS000000520.1
PDT000010465.1	0	2	PDS000000110.2
PDT000010471.1	0	11	PDS000000110.2
PDT000010474.1	16		PDS000000435.1
PDT000010478.1	0		PDS000000434.1
PDT000010479.1	0	11	PDS000000110.2
PDT000010482.1	1	31	PDS000000436.1
PDT000010485.1	0	11	PDS000000110.2
PDT000010489.1	16		PDS000000435.1
PDT000010492.1	0		PDS000000434.1
PDT000010496.1	17	30	PDS000000436.1
PDT000010498.1	0	3	PDS000000110.2
PDT000010500.1	1	6	PDS000000520.1
PDT000010505.1	2	33	PDS000000436.1
PDT000010507.1	9	6	PDS000000116.2
PDT000010509.1	1	32	PDS000000436.1
PDT000010513.1	0	3	PDS000000110.2
PDT000010517.1	16		PDS000000435.1
PDT000010520.1	0	12	PDS000000110.2
PDT000010521.1	0		PDS000000433.1
PDT000010524.1	1	3	PDS000000110.2
PDT000010525.1	0	4	PDS000000110.2
PDT000010527.1	0	4	PDS000000110.2
PDT000010531.1	1	5	PDS000000110.2
PDT000010533.1	1	4	PDS000000110.2
PDT000010535.1	2	6	PDS000000110.2
PDT000010538.1	1	6	PDS000000110.2
PDT000010540.1	8		PDS000000434.1
PDT000010542.1			
PDT000010544.1	0		PDS000000433.1
PDT000010546.1			
PDT000010549.1			
PDT000010551.1	3	5	PDS000000110.2
PDT000010553.1	1	4	PDS000000110.2
PDT000010557.1	1	5	PDS000000110.2
PDT000010561.1	27	15	PDS000000527.1
PDT000010564.1			
PDT000010568.1	1	13	PDS000000110.2
PDT000010570.1	1	6	PDS000000110.2
PDT000010572.1	0	2	PDS000000110.2
PDT000010576.1	4	7	PDS000000110.2
PDT000010578.1	17	24	PDS000000436.1
PDT000010581.1	2	4	PDS000000110.2
PDT000010584.1	0	12	PDS000000110.2
PDT000010585.1	2	13	PDS000000110.2
PDT000010586.1	3	17	PDS000000110.2
PDT000010587.1	0	3	PDS000000110.2
PDT000010588.1	0	3	PDS000000110.2
PDT000010597.1	0	12	PDS000000110.2
PDT000010598.1	0	2	PDS000000110.2
PDT000010599.1	4	24	PDS000000436.1
PDT000010601.1	4	5	PDS000000110.2
PDT000010603.1	0	11	PDS000000110.2
PDT000010606.1	0	14	PDS000000110.2
PDT000010609.1	0	11	PDS000000110.2
PDT000010610.1	0	11	PDS000000110.2
PDT000010612.1	0	14	PDS000000110.2
PDT000010613.1	1	13	PDS000000110.2
PDT000010615.1	1	12	PDS000000110.2
PDT000010616.1			
PDT000010618.1	7		PDS000000437.1
PDT000010619.1	0	12	PDS000000110.2
PDT000010686.1			
PDT000010694.1			
PDT000010720.1			
PDT000010827.1	7	3	PDS000000116.2
PDT000010821.1	7	2	PDS000000560.1
PDT000010822.1	8	0	PDS000000116.2
PDT000010823.1	3	0	PDS000000183.1
PDT000010824.1	29	0	PDS000000183.1
PDT000010825.1	7	4	PDS000000116.2
PDT000010826.1	14	7	PDS000000116.2
PDT000011341.1	19		PDS000000227.1
PDT000011342.1	31		PDS000000422.1
PDT000011345.1			
PDT000011348.1			
PDT000011349.1	0		PDS000000431.1
PDT000011350.1	0		PDS000000291.1
PDT000011351.1	8	6	PDS000000110.2
PDT000011352.1	0		PDS000000291.1
PDT000011353.1	6	21	PDS000000130.2
PDT000011354.1	0		PDS000000431.1
PDT000011356.1	0	25	PDS000000552.1
PDT000011357.1	7	13	PDS000000130.2
PDT000011358.1	10	18	PDS000000576.1
PDT000011361.1	1		PDS000000291.1
PDT000011362.1	16		PDS000000231.1
PDT000011363.1	5	18	PDS000000130.2
PDT000011365.1	0	48	PDS000000105.2
PDT000011366.1	0	48	PDS000000105.2
PDT000011367.1			
PDT000011368.1	11		PDS000000291.1
PDT000011369.1	26	47	PDS000000014.2
PDT000011370.1	0	25	PDS000000552.1
PDT000011371.1			
PDT000011372.1	0	48	PDS000000105.2
PDT000011378.1	0	59	PDS000000105.2
PDT000011379.1	0	60	PDS000000105.2
PDT000011380.1	0	60	PDS000000105.2
PDT000011381.1	1		PDS000000291.1
PDT000011382.1	6	19	PDS000000130.2
PDT000011383.1	0		PDS000000417.1
PDT000011384.1	0		PDS000000417.1
PDT000011385.1	11	14	PDS000000359.1
PDT000011386.1	0		PDS000000417.1
PDT000011387.1	0	17	PDS000000359.1
PDT000011388.1	0		PDS000000417.1
PDT000011389.1	20		PDS000000430.1
PDT000011390.1	0	48	PDS000000105.2
PDT000011391.1	0	48	PDS000000105.2
PDT000011392.1	0	48	PDS000000105.2
PDT000011393.1	20		PDS000000430.1
PDT000011394.1			
PDT000011395.1			
PDT000011398.1	0	25	PDS000000552.1
PDT000011399.1	0	25	PDS000000552.1
PDT000011404.1	3	12	PDS000000076.2
PDT000011405.1	0	59	PDS000000105.2
PDT000011406.1	8	13	PDS000000359.1
PDT000011407.1	10	79	PDS000000105.2
PDT000011408.1	0	64	PDS000000105.2
PDT000011409.1	1	65	PDS000000105.2
PDT000011410.1	1	65	PDS000000105.2
PDT000011412.1	13		PDS000000571.1
PDT000011439.1	8	15	PDS000000130.2
PDT000011413.1	5		PDS000000426.1
PDT000011414.1	0	64	PDS000000105.2
PDT000011415.1	20	13	PDS000000008.2
PDT000011442.1	0		PDS000000328.1
PDT000011416.1	3	51	PDS000000105.2
PDT000011443.1	47	29	PDS000000014.2
PDT000011417.1	10	69	PDS000000105.2
PDT000011444.1			
PDT000011418.1			
PDT000011419.1	0	17	PDS000000359.1
PDT000011420.1	11	59	PDS000000105.2
PDT000011421.1	0	64	PDS000000105.2
PDT000011447.1	0	14	PDS000000130.2
PDT000011422.1	1	46	PDS000000105.2
PDT000011448.1	15		PDS000000289.1
PDT000011449.1	15		PDS000000424.1
PDT000011424.1	17		PDS000000289.1
PDT000011425.1	2	66	PDS000000105.2
PDT000011451.1	2		PDS000000429.1
PDT000011426.1	1	45	PDS000000105.2
PDT000011452.1	2		PDS000000429.1
PDT000011427.1	42		PDS000000453.1
PDT000011453.1	0	14	PDS000000130.2
PDT000011454.1	0	14	PDS000000130.2
PDT000011428.1	6		PDS000000428.1
PDT000011455.1			
PDT000011456.1			
PDT000011457.1	13	16	PDS000000130.2
PDT000011458.1	25		PDS000000427.1
PDT000011432.1	13	76	PDS000000105.2
PDT000011459.1	10	12	PDS000000130.2
PDT000011434.1	11	13	PDS000000130.2
PDT000011461.1	21		PDS000000289.1
PDT000011435.1	5		PDS000000426.1
PDT000011462.1			
PDT000011463.1	2		PDS000000425.1
PDT000011465.1	2		PDS000000425.1
PDT000011468.1	0	21	PDS000000130.2
PDT000011469.1	19	38	PDS000000325.1
PDT000011470.1	0	21	PDS000000130.2
PDT000011471.1			
PDT000011472.1	1	22	PDS000000130.2
PDT000011473.1	28		PDS000000413.1
PDT000011475.1			
PDT000011481.1	13	19	PDS000000130.2
PDT000011482.1			
PDT000011484.1			
PDT000011485.1	10	19	PDS000000076.2
PDT000011486.1	5	50	PDS000000105.2
PDT000011487.1	16	36	PDS000000105.2
PDT000011488.1	15		PDS000000424.1
PDT000011490.1	7	52	PDS000000105.2
PDT000011491.1	3	48	PDS000000105.2
PDT000011492.1	5	50	PDS000000105.2
PDT000011493.1	6	27	PDS000000552.1
PDT000011494.1	0		PDS000000423.1
PDT000011495.1	0		PDS000000423.1
PDT000011176.1	1		PDS000000423.1
PDT000011177.1	1		PDS000000423.1
PDT000000085.1	0		PDS000000423.1
PDT000011178.1			
PDT000011179.1	1		PDS000000423.1
PDT000011180.1	0		PDS000000423.1
PDT000011181.1			
PDT000011182.1			
PDT000011183.1	39	32	PDS000000562.1
PDT000011185.1	28	47	PDS000000325.1
PDT000011186.1	7	23	PDS000000561.1
PDT000011187.1	1		PDS000000423.1
PDT000011188.1	7	52	PDS000000105.2
PDT000011189.1			
PDT000011190.1	8	10	PDS000000130.2
PDT000011191.1			
PDT000000087.1	43	44	PDS000000008.2
PDT000011192.1	11		PDS000000291.1
PDT000011194.1	4	50	PDS000000105.2
PDT000011195.1	20		PDS000000316.1
PDT000011196.1	6	51	PDS000000105.2
PDT000000088.1			
PDT000011199.1			
PDT000011201.1			
PDT000011202.1	9	16	PDS000000130.2
PDT000011203.1			
PDT000011205.1	25		PDS000000427.1
PDT000000089.1	31		PDS000000422.1
PDT000011206.1	6	4	PDS000000110.2
PDT000011207.1	1		PDS000000423.1
PDT000011210.1	0	16	PDS000000561.1
PDT000011211.1	24		PDS000000379.1
PDT000011212.1	13	23	PDS000000037.2
PDT000000090.1	66	87	PDS000000007.2
PDT000011213.1	3		PDS000000414.1
PDT000011214.1	5		PDS000000414.1
PDT000011217.1	11	57	PDS000000105.2
PDT000011218.1	9	54	PDS000000105.2
PDT000011219.1	1		PDS000000357.1
PDT000000091.1	1		PDS000000357.1
PDT000011220.1	7	28	PDS000000552.1
PDT000011221.1	1		PDS000000357.1
PDT000011222.1	2		PDS000000414.1
PDT000011223.1	4		PDS000000414.1
PDT000011224.1	2		PDS000000414.1
PDT000011225.1	1	17	PDS000000561.1
PDT000011226.1	1		PDS000000357.1
PDT000000092.1	0	27	PDS000000552.1
PDT000011227.1	12	40	PDS000000552.1
PDT000011228.1	9	37	PDS000000552.1
PDT000011229.1	29	74	PDS000000105.2
PDT000011230.1	0	56	PDS000000105.2
PDT000011231.1	3		PDS000000428.1
PDT000011232.1	2	18	PDS000000561.1
PDT000011233.1	0	56	PDS000000105.2
PDT000000093.1	0	56	PDS000000105.2
PDT000011234.1	0	56	PDS000000105.2
PDT000011235.1	13	79	PDS000000105.2
PDT000011236.1	13	79	PDS000000105.2
PDT000011237.1	0	59	PDS000000105.2
PDT000011238.1	1	45	PDS000000105.2
PDT000011239.2	13	17	PDS000000130.2
PDT000011240.1	2		PDS000000428.1
PDT000000094.1	4	49	PDS000000105.2
PDT000011241.1	1		PDS000000428.1
PDT000011242.1	1		PDS000000428.1
PDT000011243.1	1		PDS000000428.1
PDT000011244.1	0	41	PDS000000418.1
PDT000011245.1	0	16	PDS000000561.1
PDT000011246.1	1		PDS000000428.1
PDT000011247.1	4		PDS000000428.1
PDT000000095.1	1		PDS000000428.1
PDT000011248.1	0	20	PDS000000008.2
PDT000011249.1	0		PDS000000420.1
PDT000011250.1	29		PDS000000291.1
PDT000011251.1	0	41	PDS000000418.1
PDT000011252.1	0	22	PDS000000008.2
PDT000011253.1	0		PDS000000420.1
PDT000011254.1	0		PDS000000420.1
PDT000011255.1	1		PDS000000420.1
PDT000011256.1	0	20	PDS000000008.2
PDT000011257.1	0	15	PDS000000561.1
PDT000011258.1	0	15	PDS000000561.1
PDT000011259.1	1	16	PDS000000561.1
PDT000011260.1	0	15	PDS000000561.1
PDT000011261.1	0	15	PDS000000561.1
PDT000011262.1	0	15	PDS000000561.1
PDT000011263.1	0	15	PDS000000561.1
PDT000011264.1	0	15	PDS000000561.1
PDT000011265.1	1	23	PDS000000008.2
PDT000011266.1	7	52	PDS000000105.2
PDT000011267.1	12	57	PDS000000105.2
PDT000011268.1	3	48	PDS000000105.2
PDT000011269.1	1		PDS000000104.2
PDT000011270.1	8		PDS000000108.2
PDT000011283.1	9	7	PDS000000111.2
PDT000011271.1	10	55	PDS000000105.2
PDT000011284.1	14	71	PDS000000105.2
PDT000011272.1	0		PDS000000104.2
PDT000011273.1	11		PDS000000291.1
PDT000011285.1	10		PDS000000291.1
PDT000011274.1	1	56	PDS000000105.2
PDT000011286.1			
PDT000011275.1	1	55	PDS000000105.2
PDT000011287.1	1	49	PDS000000105.2
PDT000011276.1	7	52	PDS000000105.2
PDT000011288.1	9	19	PDS000000130.2
PDT000011277.1	0	22	PDS000000008.2
PDT000011289.1	1		PDS000000104.2
PDT000011278.1			
PDT000011290.1	1	24	PDS000000552.1
PDT000011279.1	13		PDS000000316.1
PDT000011280.1			
PDT000011281.1			
PDT000011293.1	0	11	PDS000000012.2
PDT000011294.1	14	29	PDS000000014.2
PDT000011295.1	12	28	PDS000000419.1
PDT000011296.1	1	56	PDS000000105.2
PDT000011298.1	9	54	PDS000000105.2
PDT000011299.1	18	26	PDS000000552.1
PDT000011302.1			
PDT000011303.1	33	27	PDS000000007.2
PDT000011304.1	1	16	PDS000000561.1
PDT000011305.1	3	58	PDS000000105.2
PDT000011306.1	0	11	PDS000000012.2
PDT000011307.2	5	25	PDS000000008.2
PDT000011308.1	12	57	PDS000000105.2
PDT000011312.1	13	58	PDS000000105.2
PDT000011313.2	13		PDS000000571.1
PDT000011314.1	0	17	PDS000000110.2
PDT000011315.1	1	18	PDS000000110.2
PDT000011316.1	3	20	PDS000000110.2
PDT000011317.1	67	61	PDS000000311.1
PDT000011318.1	4		PDS000000104.2
PDT000011319.1			
PDT000011320.1			
PDT000011321.1	17	62	PDS000000105.2
PDT000011322.1	14		PDS000000291.1
PDT000011323.1	21		PDS000000038.2
PDT000011324.1			
PDT000011325.1	14		PDS000000291.1
PDT000011326.1	0	17	PDS000000110.2
PDT000011327.1	0	17	PDS000000110.2
PDT000011328.1	18		PDS000000291.1
PDT000011330.2	31		PDS000000422.1
PDT000011331.1	13		PDS000000571.1
PDT000011332.1	29		PDS000000379.1
PDT000011333.1	0		PDS000000104.2
PDT000011334.1	1		PDS000000039.2
PDT000011335.1	2	31	PDS000000008.2
PDT000011336.1	2	31	PDS000000008.2
PDT000011337.1	2		PDS000000104.2
PDT000011338.1	0		PDS000000316.1
PDT000011339.1			
PDT000011340.1			
PDT000000028.1			
PDT000000029.1	36		PDS000000319.1
PDT000000030.1			
PDT000000031.1	0		PDS000000316.1
PDT000000032.1			
PDT000000033.2	0		PDS000000104.2
PDT000000034.1	0		PDS000000316.1
PDT000000035.1	12	57	PDS000000105.2
PDT000000038.1	15	24	PDS000000076.2
PDT000000039.1	0	55	PDS000000105.2
PDT000000040.1	0	55	PDS000000105.2
PDT000000041.1	0	17	PDS000000359.1
PDT000000042.1	1	55	PDS000000105.2
PDT000000043.2	0	17	PDS000000359.1
PDT000000044.1	0	55	PDS000000105.2
PDT000000046.1			
PDT000000047.1	1	16	PDS000000561.1
PDT000000048.1			
PDT000000049.2			
PDT000000050.1	2	19	PDS000000359.1
PDT000000051.1	0	54	PDS000000105.2
PDT000000052.1	0	54	PDS000000105.2
PDT000000053.2	0	55	PDS000000105.2
PDT000000054.1	0	55	PDS000000105.2
PDT000000055.1	0	16	PDS000000561.1
PDT000000056.2	1		PDS000000428.1
PDT000000057.1	1	42	PDS000000418.1
PDT000000058.1	0	16	PDS000000561.1
PDT000000059.1	1	60	PDS000000105.2
PDT000000060.1	0	27	PDS000000552.1
PDT000000061.1	20		PDS000000228.1
PDT000000062.1	11	9	PDS000000110.2
PDT000000063.1			
PDT000000064.1			
PDT000000065.1	2		PDS000000417.1
PDT000000066.2	19	20	PDS000000416.1
PDT000000068.1	6	40	PDS000000105.2
PDT000000069.2			
PDT000000070.1	0	59	PDS000000105.2
PDT000000071.1	1	60	PDS000000105.2
PDT000000072.1	100		PDS000000414.1
PDT000000073.1	1		PDS000000428.1
PDT000000074.1	15	10	PDS000000130.2
PDT000000075.1	3		PDS000000104.2
PDT000000076.1	3		PDS000000104.2
PDT000000077.1	0		PDS000000104.2
PDT000000078.1	0		PDS000000104.2
PDT000000079.1	28		PDS000000413.1
PDT000000080.1	21		PDS000000292.1
PDT000000082.1	39		PDS000000229.1
PDT000000083.1			
PDT000000084.1	1	44	PDS000000105.2
PDT000010916.1	16		PDS000000412.1
PDT000010913.1	16		PDS000000412.1
PDT000010919.1	3	0	PDS000000183.1
PDT000010920.1	5	5	PDS000000183.1
PDT000010921.1	7	3	PDS000000560.1
PDT000010922.2	0	1	PDS000000121.2
PDT000010923.1	2	6	PDS000000121.2
PDT000010924.1	0	0	PDS000000121.2
PDT000010925.1	0	1	PDS000000121.2
PDT000010926.1	1	5	PDS000000121.2
PDT000010927.1	0	4	PDS000000121.2
PDT000010928.1	1	5	PDS000000121.2
PDT000010929.1	0	2	PDS000000121.2
PDT000010930.1	3	3	PDS000000121.2
PDT000010931.1	2	2	PDS000000121.2
PDT000010932.1	2	5	PDS000000121.2
PDT000010933.2	3	4	PDS000000121.2
PDT000010934.1	2	2	PDS000000121.2
