target_name,target_acc,amrfinder_results,nucleotide_fasta,protein_fasta,gff,contig_report
GCA_006280355.1,PDT000026143.1,GCA_006280355.1.amrfinder,GCA_006280355.1_ASM628035v1_genomic.fna,GCA_006280355.1_ASM628035v1_protein.faa,GCA_006280355.1_ASM628035v1_genomic.gff,
GCA_006335085.1,PDT000026145.1,GCA_006335085.1.amrfinder,GCA_006335085.1_ASM633508v1_genomic.fna,GCA_006335085.1_ASM633508v1_protein.faa,GCA_006335085.1_ASM633508v1_genomic.gff,
GCA_006337045.1,PDT000026146.1,GCA_006337045.1.amrfinder,GCA_006337045.1_ASM633704v1_genomic.fna,GCA_006337045.1_ASM633704v1_protein.faa,GCA_006337045.1_ASM633704v1_genomic.gff,
GCA_006349345.1,PDT000026148.1,GCA_006349345.1.amrfinder,GCA_006349345.1_ASM634934v1_genomic.fna,GCA_006349345.1_ASM634934v1_protein.faa,GCA_006349345.1_ASM634934v1_genomic.gff,
GCA_006351845.1,PDT000026150.1,GCA_006351845.1.amrfinder,GCA_006351845.1_ASM635184v1_genomic.fna,GCA_006351845.1_ASM635184v1_protein.faa,GCA_006351845.1_ASM635184v1_genomic.gff,
GCA_006364815.1,PDT000026156.1,GCA_006364815.1.amrfinder,GCA_006364815.1_ASM636481v1_genomic.fna,GCA_006364815.1_ASM636481v1_protein.faa,GCA_006364815.1_ASM636481v1_genomic.gff,
GCA_006375615.1,PDT000026157.1,GCA_006375615.1.amrfinder,GCA_006375615.1_ASM637561v1_genomic.fna,GCA_006375615.1_ASM637561v1_protein.faa,GCA_006375615.1_ASM637561v1_genomic.gff,
GCA_006375635.1,PDT000026158.1,GCA_006375635.1.amrfinder,GCA_006375635.1_ASM637563v1_genomic.fna,GCA_006375635.1_ASM637563v1_protein.faa,GCA_006375635.1_ASM637563v1_genomic.gff,
GCA_006375645.1,PDT000026159.1,GCA_006375645.1.amrfinder,GCA_006375645.1_ASM637564v1_genomic.fna,GCA_006375645.1_ASM637564v1_protein.faa,GCA_006375645.1_ASM637564v1_genomic.gff,
GCA_006375675.1,PDT000026160.1,GCA_006375675.1.amrfinder,GCA_006375675.1_ASM637567v1_genomic.fna,GCA_006375675.1_ASM637567v1_protein.faa,GCA_006375675.1_ASM637567v1_genomic.gff,
GCA_006375685.1,PDT000026161.1,GCA_006375685.1.amrfinder,GCA_006375685.1_ASM637568v1_genomic.fna,GCA_006375685.1_ASM637568v1_protein.faa,GCA_006375685.1_ASM637568v1_genomic.gff,
GCA_006375695.1,PDT000026162.1,GCA_006375695.1.amrfinder,GCA_006375695.1_ASM637569v1_genomic.fna,GCA_006375695.1_ASM637569v1_protein.faa,GCA_006375695.1_ASM637569v1_genomic.gff,
GCA_006375735.1,PDT000026163.1,GCA_006375735.1.amrfinder,GCA_006375735.1_ASM637573v1_genomic.fna,GCA_006375735.1_ASM637573v1_protein.faa,GCA_006375735.1_ASM637573v1_genomic.gff,
GCA_006375755.1,PDT000026164.1,GCA_006375755.1.amrfinder,GCA_006375755.1_ASM637575v1_genomic.fna,GCA_006375755.1_ASM637575v1_protein.faa,GCA_006375755.1_ASM637575v1_genomic.gff,
GCA_006375775.1,PDT000026165.1,GCA_006375775.1.amrfinder,GCA_006375775.1_ASM637577v1_genomic.fna,GCA_006375775.1_ASM637577v1_protein.faa,GCA_006375775.1_ASM637577v1_genomic.gff,
GCA_006375785.1,PDT000026166.1,GCA_006375785.1.amrfinder,GCA_006375785.1_ASM637578v1_genomic.fna,GCA_006375785.1_ASM637578v1_protein.faa,GCA_006375785.1_ASM637578v1_genomic.gff,
GCA_006375795.1,PDT000026167.1,GCA_006375795.1.amrfinder,GCA_006375795.1_ASM637579v1_genomic.fna,GCA_006375795.1_ASM637579v1_protein.faa,GCA_006375795.1_ASM637579v1_genomic.gff,
GCA_006375815.1,PDT000026168.1,GCA_006375815.1.amrfinder,GCA_006375815.1_ASM637581v1_genomic.fna,GCA_006375815.1_ASM637581v1_protein.faa,GCA_006375815.1_ASM637581v1_genomic.gff,
GCA_006375855.1,PDT000026169.1,GCA_006375855.1.amrfinder,GCA_006375855.1_ASM637585v1_genomic.fna,GCA_006375855.1_ASM637585v1_protein.faa,GCA_006375855.1_ASM637585v1_genomic.gff,
GCA_006375865.1,PDT000026170.1,GCA_006375865.1.amrfinder,GCA_006375865.1_ASM637586v1_genomic.fna,GCA_006375865.1_ASM637586v1_protein.faa,GCA_006375865.1_ASM637586v1_genomic.gff,
GCA_006375895.1,PDT000026171.1,GCA_006375895.1.amrfinder,GCA_006375895.1_ASM637589v1_genomic.fna,GCA_006375895.1_ASM637589v1_protein.faa,GCA_006375895.1_ASM637589v1_genomic.gff,
GCA_006375915.1,PDT000026172.1,GCA_006375915.1.amrfinder,GCA_006375915.1_ASM637591v1_genomic.fna,GCA_006375915.1_ASM637591v1_protein.faa,GCA_006375915.1_ASM637591v1_genomic.gff,
GCA_006375925.1,PDT000026173.1,GCA_006375925.1.amrfinder,GCA_006375925.1_ASM637592v1_genomic.fna,GCA_006375925.1_ASM637592v1_protein.faa,GCA_006375925.1_ASM637592v1_genomic.gff,
GCA_006375945.1,PDT000026174.1,GCA_006375945.1.amrfinder,GCA_006375945.1_ASM637594v1_genomic.fna,GCA_006375945.1_ASM637594v1_protein.faa,GCA_006375945.1_ASM637594v1_genomic.gff,
GCA_006375975.1,PDT000026175.1,GCA_006375975.1.amrfinder,GCA_006375975.1_ASM637597v1_genomic.fna,GCA_006375975.1_ASM637597v1_protein.faa,GCA_006375975.1_ASM637597v1_genomic.gff,
GCA_006375995.1,PDT000026176.1,GCA_006375995.1.amrfinder,GCA_006375995.1_ASM637599v1_genomic.fna,GCA_006375995.1_ASM637599v1_protein.faa,GCA_006375995.1_ASM637599v1_genomic.gff,
GCA_006376005.1,PDT000026178.1,GCA_006376005.1.amrfinder,GCA_006376005.1_ASM637600v1_genomic.fna,GCA_006376005.1_ASM637600v1_protein.faa,GCA_006376005.1_ASM637600v1_genomic.gff,
GCA_006376015.1,PDT000026177.1,GCA_006376015.1.amrfinder,GCA_006376015.1_ASM637601v1_genomic.fna,GCA_006376015.1_ASM637601v1_protein.faa,GCA_006376015.1_ASM637601v1_genomic.gff,
GCA_006376055.1,PDT000026179.1,GCA_006376055.1.amrfinder,GCA_006376055.1_ASM637605v1_genomic.fna,GCA_006376055.1_ASM637605v1_protein.faa,GCA_006376055.1_ASM637605v1_genomic.gff,
GCA_006376075.1,PDT000026180.1,GCA_006376075.1.amrfinder,GCA_006376075.1_ASM637607v1_genomic.fna,GCA_006376075.1_ASM637607v1_protein.faa,GCA_006376075.1_ASM637607v1_genomic.gff,
GCA_006376095.1,PDT000026182.1,GCA_006376095.1.amrfinder,GCA_006376095.1_ASM637609v1_genomic.fna,GCA_006376095.1_ASM637609v1_protein.faa,GCA_006376095.1_ASM637609v1_genomic.gff,
GCA_006376105.1,PDT000026181.1,GCA_006376105.1.amrfinder,GCA_006376105.1_ASM637610v1_genomic.fna,GCA_006376105.1_ASM637610v1_protein.faa,GCA_006376105.1_ASM637610v1_genomic.gff,
GCA_006376115.1,PDT000026183.1,GCA_006376115.1.amrfinder,GCA_006376115.1_ASM637611v1_genomic.fna,GCA_006376115.1_ASM637611v1_protein.faa,GCA_006376115.1_ASM637611v1_genomic.gff,
GCA_006376145.1,PDT000026184.1,GCA_006376145.1.amrfinder,GCA_006376145.1_ASM637614v1_genomic.fna,GCA_006376145.1_ASM637614v1_protein.faa,GCA_006376145.1_ASM637614v1_genomic.gff,
GCA_006376175.1,PDT000026185.1,GCA_006376175.1.amrfinder,GCA_006376175.1_ASM637617v1_genomic.fna,GCA_006376175.1_ASM637617v1_protein.faa,GCA_006376175.1_ASM637617v1_genomic.gff,
GCA_006376195.1,PDT000026186.1,GCA_006376195.1.amrfinder,GCA_006376195.1_ASM637619v1_genomic.fna,GCA_006376195.1_ASM637619v1_protein.faa,GCA_006376195.1_ASM637619v1_genomic.gff,
GCA_006376215.1,PDT000026187.1,GCA_006376215.1.amrfinder,GCA_006376215.1_ASM637621v1_genomic.fna,GCA_006376215.1_ASM637621v1_protein.faa,GCA_006376215.1_ASM637621v1_genomic.gff,
GCA_006376225.1,PDT000026188.1,GCA_006376225.1.amrfinder,GCA_006376225.1_ASM637622v1_genomic.fna,GCA_006376225.1_ASM637622v1_protein.faa,GCA_006376225.1_ASM637622v1_genomic.gff,
GCA_006376235.1,PDT000026189.1,GCA_006376235.1.amrfinder,GCA_006376235.1_ASM637623v1_genomic.fna,GCA_006376235.1_ASM637623v1_protein.faa,GCA_006376235.1_ASM637623v1_genomic.gff,
GCA_006376275.1,PDT000026191.1,GCA_006376275.1.amrfinder,GCA_006376275.1_ASM637627v1_genomic.fna,GCA_006376275.1_ASM637627v1_protein.faa,GCA_006376275.1_ASM637627v1_genomic.gff,
GCA_006376285.1,PDT000026190.1,GCA_006376285.1.amrfinder,GCA_006376285.1_ASM637628v1_genomic.fna,GCA_006376285.1_ASM637628v1_protein.faa,GCA_006376285.1_ASM637628v1_genomic.gff,
GCA_006376295.1,PDT000026192.1,GCA_006376295.1.amrfinder,GCA_006376295.1_ASM637629v1_genomic.fna,GCA_006376295.1_ASM637629v1_protein.faa,GCA_006376295.1_ASM637629v1_genomic.gff,
GCA_006381655.1,PDT000026193.1,GCA_006381655.1.amrfinder,GCA_006381655.1_ASM638165v1_genomic.fna,GCA_006381655.1_ASM638165v1_protein.faa,GCA_006381655.1_ASM638165v1_genomic.gff,
GCA_006538865.1,PDT000026197.1,GCA_006538865.1.amrfinder,GCA_006538865.1_ASM653886v1_genomic.fna,GCA_006538865.1_ASM653886v1_protein.faa,GCA_006538865.1_ASM653886v1_genomic.gff,
GCA_006539225.1,PDT000026198.1,GCA_006539225.1.amrfinder,GCA_006539225.1_ASM653922v1_genomic.fna,GCA_006539225.1_ASM653922v1_protein.faa,GCA_006539225.1_ASM653922v1_genomic.gff,
GCA_006541075.1,PDT000026199.1,GCA_006541075.1.amrfinder,GCA_006541075.1_ASM654107v1_genomic.fna,GCA_006541075.1_ASM654107v1_protein.faa,GCA_006541075.1_ASM654107v1_genomic.gff,
GCA_006541085.1,PDT000026200.1,GCA_006541085.1.amrfinder,GCA_006541085.1_ASM654108v1_genomic.fna,GCA_006541085.1_ASM654108v1_protein.faa,GCA_006541085.1_ASM654108v1_genomic.gff,
GCA_006541095.1,PDT000026201.1,GCA_006541095.1.amrfinder,GCA_006541095.1_ASM654109v1_genomic.fna,GCA_006541095.1_ASM654109v1_protein.faa,GCA_006541095.1_ASM654109v1_genomic.gff,
GCA_006541115.1,PDT000026202.1,GCA_006541115.1.amrfinder,GCA_006541115.1_ASM654111v1_genomic.fna,GCA_006541115.1_ASM654111v1_protein.faa,GCA_006541115.1_ASM654111v1_genomic.gff,
GCA_006541155.1,PDT000026203.1,GCA_006541155.1.amrfinder,GCA_006541155.1_ASM654115v1_genomic.fna,GCA_006541155.1_ASM654115v1_protein.faa,GCA_006541155.1_ASM654115v1_genomic.gff,
GCA_006541175.1,PDT000026204.1,GCA_006541175.1.amrfinder,GCA_006541175.1_ASM654117v1_genomic.fna,GCA_006541175.1_ASM654117v1_protein.faa,GCA_006541175.1_ASM654117v1_genomic.gff,
GCA_006541185.1,PDT000026205.1,GCA_006541185.1.amrfinder,GCA_006541185.1_ASM654118v1_genomic.fna,GCA_006541185.1_ASM654118v1_protein.faa,GCA_006541185.1_ASM654118v1_genomic.gff,
GCA_006541215.1,PDT000026206.1,GCA_006541215.1.amrfinder,GCA_006541215.1_ASM654121v1_genomic.fna,GCA_006541215.1_ASM654121v1_protein.faa,GCA_006541215.1_ASM654121v1_genomic.gff,
GCA_006541225.1,PDT000026207.1,GCA_006541225.1.amrfinder,GCA_006541225.1_ASM654122v1_genomic.fna,GCA_006541225.1_ASM654122v1_protein.faa,GCA_006541225.1_ASM654122v1_genomic.gff,
GCA_006541255.1,PDT000026208.1,GCA_006541255.1.amrfinder,GCA_006541255.1_ASM654125v1_genomic.fna,GCA_006541255.1_ASM654125v1_protein.faa,GCA_006541255.1_ASM654125v1_genomic.gff,
GCA_006541265.1,PDT000026209.1,GCA_006541265.1.amrfinder,GCA_006541265.1_ASM654126v1_genomic.fna,GCA_006541265.1_ASM654126v1_protein.faa,GCA_006541265.1_ASM654126v1_genomic.gff,
GCA_006541295.1,PDT000026211.1,GCA_006541295.1.amrfinder,GCA_006541295.1_ASM654129v1_genomic.fna,GCA_006541295.1_ASM654129v1_protein.faa,GCA_006541295.1_ASM654129v1_genomic.gff,
GCA_006541305.1,PDT000026210.1,GCA_006541305.1.amrfinder,GCA_006541305.1_ASM654130v1_genomic.fna,GCA_006541305.1_ASM654130v1_protein.faa,GCA_006541305.1_ASM654130v1_genomic.gff,
GCA_006541335.1,PDT000026213.1,GCA_006541335.1.amrfinder,GCA_006541335.1_ASM654133v1_genomic.fna,GCA_006541335.1_ASM654133v1_protein.faa,GCA_006541335.1_ASM654133v1_genomic.gff,
GCA_006541345.1,PDT000026214.1,GCA_006541345.1.amrfinder,GCA_006541345.1_ASM654134v1_genomic.fna,GCA_006541345.1_ASM654134v1_protein.faa,GCA_006541345.1_ASM654134v1_genomic.gff,
GCA_006541355.1,PDT000026212.1,GCA_006541355.1.amrfinder,GCA_006541355.1_ASM654135v1_genomic.fna,GCA_006541355.1_ASM654135v1_protein.faa,GCA_006541355.1_ASM654135v1_genomic.gff,
GCA_006541395.1,PDT000026215.1,GCA_006541395.1.amrfinder,GCA_006541395.1_ASM654139v1_genomic.fna,GCA_006541395.1_ASM654139v1_protein.faa,GCA_006541395.1_ASM654139v1_genomic.gff,
GCA_006541405.1,PDT000026216.1,GCA_006541405.1.amrfinder,GCA_006541405.1_ASM654140v1_genomic.fna,GCA_006541405.1_ASM654140v1_protein.faa,GCA_006541405.1_ASM654140v1_genomic.gff,
GCA_006541435.1,PDT000026217.1,GCA_006541435.1.amrfinder,GCA_006541435.1_ASM654143v1_genomic.fna,GCA_006541435.1_ASM654143v1_protein.faa,GCA_006541435.1_ASM654143v1_genomic.gff,
GCA_006541445.1,PDT000026219.1,GCA_006541445.1.amrfinder,GCA_006541445.1_ASM654144v1_genomic.fna,GCA_006541445.1_ASM654144v1_protein.faa,GCA_006541445.1_ASM654144v1_genomic.gff,
GCA_006541465.1,PDT000026218.1,GCA_006541465.1.amrfinder,GCA_006541465.1_ASM654146v1_genomic.fna,GCA_006541465.1_ASM654146v1_protein.faa,GCA_006541465.1_ASM654146v1_genomic.gff,
GCA_006541485.1,PDT000026220.1,GCA_006541485.1.amrfinder,GCA_006541485.1_ASM654148v1_genomic.fna,GCA_006541485.1_ASM654148v1_protein.faa,GCA_006541485.1_ASM654148v1_genomic.gff,
GCA_006541515.1,PDT000026221.1,GCA_006541515.1.amrfinder,GCA_006541515.1_ASM654151v1_genomic.fna,GCA_006541515.1_ASM654151v1_protein.faa,GCA_006541515.1_ASM654151v1_genomic.gff,
GCA_006541525.1,PDT000026222.1,GCA_006541525.1.amrfinder,GCA_006541525.1_ASM654152v1_genomic.fna,GCA_006541525.1_ASM654152v1_protein.faa,GCA_006541525.1_ASM654152v1_genomic.gff,
GCA_006541535.1,PDT000026224.1,GCA_006541535.1.amrfinder,GCA_006541535.1_ASM654153v1_genomic.fna,GCA_006541535.1_ASM654153v1_protein.faa,GCA_006541535.1_ASM654153v1_genomic.gff,
GCA_006541545.1,PDT000026223.1,GCA_006541545.1.amrfinder,GCA_006541545.1_ASM654154v1_genomic.fna,GCA_006541545.1_ASM654154v1_protein.faa,GCA_006541545.1_ASM654154v1_genomic.gff,
GCA_006541595.1,PDT000026225.1,GCA_006541595.1.amrfinder,GCA_006541595.1_ASM654159v1_genomic.fna,GCA_006541595.1_ASM654159v1_protein.faa,GCA_006541595.1_ASM654159v1_genomic.gff,
GCA_006541615.1,PDT000026226.1,GCA_006541615.1.amrfinder,GCA_006541615.1_ASM654161v1_genomic.fna,GCA_006541615.1_ASM654161v1_protein.faa,GCA_006541615.1_ASM654161v1_genomic.gff,
GCA_006541625.1,PDT000026227.1,GCA_006541625.1.amrfinder,GCA_006541625.1_ASM654162v1_genomic.fna,GCA_006541625.1_ASM654162v1_protein.faa,GCA_006541625.1_ASM654162v1_genomic.gff,
GCA_006541645.1,PDT000026229.1,GCA_006541645.1.amrfinder,GCA_006541645.1_ASM654164v1_genomic.fna,GCA_006541645.1_ASM654164v1_protein.faa,GCA_006541645.1_ASM654164v1_genomic.gff,
GCA_006541655.1,PDT000026228.1,GCA_006541655.1.amrfinder,GCA_006541655.1_ASM654165v1_genomic.fna,GCA_006541655.1_ASM654165v1_protein.faa,GCA_006541655.1_ASM654165v1_genomic.gff,
GCA_006541685.1,PDT000026230.1,GCA_006541685.1.amrfinder,GCA_006541685.1_ASM654168v1_genomic.fna,GCA_006541685.1_ASM654168v1_protein.faa,GCA_006541685.1_ASM654168v1_genomic.gff,
GCA_006541705.1,PDT000026231.1,GCA_006541705.1.amrfinder,GCA_006541705.1_ASM654170v1_genomic.fna,GCA_006541705.1_ASM654170v1_protein.faa,GCA_006541705.1_ASM654170v1_genomic.gff,
GCA_006541715.1,PDT000026232.1,GCA_006541715.1.amrfinder,GCA_006541715.1_ASM654171v1_genomic.fna,GCA_006541715.1_ASM654171v1_protein.faa,GCA_006541715.1_ASM654171v1_genomic.gff,
GCA_006541755.1,PDT000026233.1,GCA_006541755.1.amrfinder,GCA_006541755.1_ASM654175v1_genomic.fna,GCA_006541755.1_ASM654175v1_protein.faa,GCA_006541755.1_ASM654175v1_genomic.gff,
GCA_006541775.1,PDT000026234.1,GCA_006541775.1.amrfinder,GCA_006541775.1_ASM654177v1_genomic.fna,GCA_006541775.1_ASM654177v1_protein.faa,GCA_006541775.1_ASM654177v1_genomic.gff,
GCA_006541785.1,PDT000026236.1,GCA_006541785.1.amrfinder,GCA_006541785.1_ASM654178v1_genomic.fna,GCA_006541785.1_ASM654178v1_protein.faa,GCA_006541785.1_ASM654178v1_genomic.gff,
GCA_006541795.1,PDT000026235.1,GCA_006541795.1.amrfinder,GCA_006541795.1_ASM654179v1_genomic.fna,GCA_006541795.1_ASM654179v1_protein.faa,GCA_006541795.1_ASM654179v1_genomic.gff,
GCA_006541805.1,PDT000026237.1,GCA_006541805.1.amrfinder,GCA_006541805.1_ASM654180v1_genomic.fna,GCA_006541805.1_ASM654180v1_protein.faa,GCA_006541805.1_ASM654180v1_genomic.gff,
GCA_006541855.1,PDT000026238.1,GCA_006541855.1.amrfinder,GCA_006541855.1_ASM654185v1_genomic.fna,GCA_006541855.1_ASM654185v1_protein.faa,GCA_006541855.1_ASM654185v1_genomic.gff,
GCA_006541875.1,PDT000026239.1,GCA_006541875.1.amrfinder,GCA_006541875.1_ASM654187v1_genomic.fna,GCA_006541875.1_ASM654187v1_protein.faa,GCA_006541875.1_ASM654187v1_genomic.gff,
GCA_006541885.1,PDT000026240.1,GCA_006541885.1.amrfinder,GCA_006541885.1_ASM654188v1_genomic.fna,GCA_006541885.1_ASM654188v1_protein.faa,GCA_006541885.1_ASM654188v1_genomic.gff,
GCA_006541905.1,PDT000026241.1,GCA_006541905.1.amrfinder,GCA_006541905.1_ASM654190v1_genomic.fna,GCA_006541905.1_ASM654190v1_protein.faa,GCA_006541905.1_ASM654190v1_genomic.gff,
GCA_006741355.1,PDT000026243.1,GCA_006741355.1.amrfinder,GCA_006741355.1_ASM674135v1_genomic.fna,GCA_006741355.1_ASM674135v1_protein.faa,GCA_006741355.1_ASM674135v1_genomic.gff,
GCA_006766145.1,PDT000026244.1,GCA_006766145.1.amrfinder,GCA_006766145.1_ASM676614v1_genomic.fna,GCA_006766145.1_ASM676614v1_protein.faa,GCA_006766145.1_ASM676614v1_genomic.gff,
GCA_007034685.1,PDT000027303.1,GCA_007034685.1.amrfinder,GCA_007034685.1_ASM703468v1_genomic.fna,GCA_007034685.1_ASM703468v1_protein.faa,GCA_007034685.1_ASM703468v1_genomic.gff,
GCA_007034765.1,PDT000027304.1,GCA_007034765.1.amrfinder,GCA_007034765.1_ASM703476v1_genomic.fna,GCA_007034765.1_ASM703476v1_protein.faa,GCA_007034765.1_ASM703476v1_genomic.gff,
GCA_007034845.1,PDT000027305.1,GCA_007034845.1.amrfinder,GCA_007034845.1_ASM703484v1_genomic.fna,GCA_007034845.1_ASM703484v1_protein.faa,GCA_007034845.1_ASM703484v1_genomic.gff,
GCA_007034965.1,PDT000027306.1,GCA_007034965.1.amrfinder,GCA_007034965.1_ASM703496v1_genomic.fna,GCA_007034965.1_ASM703496v1_protein.faa,GCA_007034965.1_ASM703496v1_genomic.gff,
GCA_007035085.1,PDT000027307.1,GCA_007035085.1.amrfinder,GCA_007035085.1_ASM703508v1_genomic.fna,GCA_007035085.1_ASM703508v1_protein.faa,GCA_007035085.1_ASM703508v1_genomic.gff,
GCA_007035185.1,PDT000027308.1,GCA_007035185.1.amrfinder,GCA_007035185.1_ASM703518v1_genomic.fna,GCA_007035185.1_ASM703518v1_protein.faa,GCA_007035185.1_ASM703518v1_genomic.gff,
GCA_007035245.1,PDT000027309.1,GCA_007035245.1.amrfinder,GCA_007035245.1_ASM703524v1_genomic.fna,GCA_007035245.1_ASM703524v1_protein.faa,GCA_007035245.1_ASM703524v1_genomic.gff,
GCA_007035385.1,PDT000027310.1,GCA_007035385.1.amrfinder,GCA_007035385.1_ASM703538v1_genomic.fna,GCA_007035385.1_ASM703538v1_protein.faa,GCA_007035385.1_ASM703538v1_genomic.gff,
GCA_007035485.1,PDT000027311.1,GCA_007035485.1.amrfinder,GCA_007035485.1_ASM703548v1_genomic.fna,GCA_007035485.1_ASM703548v1_protein.faa,GCA_007035485.1_ASM703548v1_genomic.gff,
GCA_007035545.1,PDT000027312.1,GCA_007035545.1.amrfinder,GCA_007035545.1_ASM703554v1_genomic.fna,GCA_007035545.1_ASM703554v1_protein.faa,GCA_007035545.1_ASM703554v1_genomic.gff,
GCA_007035705.1,PDT000027313.1,GCA_007035705.1.amrfinder,GCA_007035705.1_ASM703570v1_genomic.fna,GCA_007035705.1_ASM703570v1_protein.faa,GCA_007035705.1_ASM703570v1_genomic.gff,
GCA_007035845.1,PDT000027314.1,GCA_007035845.1.amrfinder,GCA_007035845.1_ASM703584v1_genomic.fna,GCA_007035845.1_ASM703584v1_protein.faa,GCA_007035845.1_ASM703584v1_genomic.gff,
GCA_007035945.1,PDT000027315.1,GCA_007035945.1.amrfinder,GCA_007035945.1_ASM703594v1_genomic.fna,GCA_007035945.1_ASM703594v1_protein.faa,GCA_007035945.1_ASM703594v1_genomic.gff,
GCA_007036085.1,PDT000027316.1,GCA_007036085.1.amrfinder,GCA_007036085.1_ASM703608v1_genomic.fna,GCA_007036085.1_ASM703608v1_protein.faa,GCA_007036085.1_ASM703608v1_genomic.gff,
GCA_900044005.1,PDT000025256.1,GCA_900044005.1.amrfinder,GCA_900044005.1_ASM90004400v1_genomic.fna,GCA_900044005.1_ASM90004400v1_protein.faa,GCA_900044005.1_ASM90004400v1_genomic.gff,
GCA_900066025.1,PDT000024443.1,GCA_900066025.1.amrfinder,GCA_900066025.1_Enterococcus_faecium_E1002_isolate_genomic.fna,GCA_900066025.1_Enterococcus_faecium_E1002_isolate_protein.faa,GCA_900066025.1_Enterococcus_faecium_E1002_isolate_genomic.gff,
GCA_900080015.1,PDT000024461.1,GCA_900080015.1.amrfinder,GCA_900080015.1_Isolate_20_genomic.fna,GCA_900080015.1_Isolate_20_protein.faa,GCA_900080015.1_Isolate_20_genomic.gff,
GCA_900080025.1,PDT000024455.1,GCA_900080025.1.amrfinder,GCA_900080025.1_Isolate_25_genomic.fna,GCA_900080025.1_Isolate_25_protein.faa,GCA_900080025.1_Isolate_25_genomic.gff,
GCA_900080035.1,PDT000024457.1,GCA_900080035.1.amrfinder,GCA_900080035.1_Isolate_19_genomic.fna,GCA_900080035.1_Isolate_19_protein.faa,GCA_900080035.1_Isolate_19_genomic.gff,
GCA_900080045.1,PDT000024462.1,GCA_900080045.1.amrfinder,GCA_900080045.1_Isolate_23_genomic.fna,GCA_900080045.1_Isolate_23_protein.faa,GCA_900080045.1_Isolate_23_genomic.gff,
GCA_900080055.1,PDT000024458.1,GCA_900080055.1.amrfinder,GCA_900080055.1_Isolate_18_genomic.fna,GCA_900080055.1_Isolate_18_protein.faa,GCA_900080055.1_Isolate_18_genomic.gff,
GCA_900080065.1,PDT000024459.1,GCA_900080065.1.amrfinder,GCA_900080065.1_Isolate_30_genomic.fna,GCA_900080065.1_Isolate_30_protein.faa,GCA_900080065.1_Isolate_30_genomic.gff,
GCA_900080075.1,PDT000024452.1,GCA_900080075.1.amrfinder,GCA_900080075.1_Isolate_17_genomic.fna,GCA_900080075.1_Isolate_17_protein.faa,GCA_900080075.1_Isolate_17_genomic.gff,
GCA_900080085.1,PDT000024460.1,GCA_900080085.1.amrfinder,GCA_900080085.1_Isolate_21_genomic.fna,GCA_900080085.1_Isolate_21_protein.faa,GCA_900080085.1_Isolate_21_genomic.gff,
GCA_900080095.1,PDT000024454.1,GCA_900080095.1.amrfinder,GCA_900080095.1_Isolate_22_genomic.fna,GCA_900080095.1_Isolate_22_protein.faa,GCA_900080095.1_Isolate_22_genomic.gff,
GCA_900080105.1,PDT000024456.1,GCA_900080105.1.amrfinder,GCA_900080105.1_Isolate_12_genomic.fna,GCA_900080105.1_Isolate_12_protein.faa,GCA_900080105.1_Isolate_12_genomic.gff,
GCA_900080115.1,PDT000024453.1,GCA_900080115.1.amrfinder,GCA_900080115.1_Isolate_24_genomic.fna,GCA_900080115.1_Isolate_24_protein.faa,GCA_900080115.1_Isolate_24_genomic.gff,
GCA_900103995.1,PDT000024483.1,GCA_900103995.1.amrfinder,GCA_900103995.1_IMG-taxon_2606217756_annotated_assembly_genomic.fna,GCA_900103995.1_IMG-taxon_2606217756_annotated_assembly_protein.faa,GCA_900103995.1_IMG-taxon_2606217756_annotated_assembly_genomic.gff,
GCA_900166945.1,PDT000024844.1,GCA_900166945.1.amrfinder,GCA_900166945.1_ASM90016694v1_genomic.fna,GCA_900166945.1_ASM90016694v1_protein.faa,GCA_900166945.1_ASM90016694v1_genomic.gff,
GCA_900178555.1,PDT000024621.1,GCA_900178555.1.amrfinder,GCA_900178555.1_19789_6_130_genomic.fna,GCA_900178555.1_19789_6_130_protein.faa,GCA_900178555.1_19789_6_130_genomic.gff,
GCA_900178565.1,PDT000024650.1,GCA_900178565.1.amrfinder,GCA_900178565.1_19789_6_154_genomic.fna,GCA_900178565.1_19789_6_154_protein.faa,GCA_900178565.1_19789_6_154_genomic.gff,
GCA_900178575.1,PDT000024717.1,GCA_900178575.1.amrfinder,GCA_900178575.1_19789_6_117_genomic.fna,GCA_900178575.1_19789_6_117_protein.faa,GCA_900178575.1_19789_6_117_genomic.gff,
GCA_900178585.1,PDT000024633.1,GCA_900178585.1.amrfinder,GCA_900178585.1_19789_6_108_genomic.fna,GCA_900178585.1_19789_6_108_protein.faa,GCA_900178585.1_19789_6_108_genomic.gff,
GCA_900178595.1,PDT000024788.1,GCA_900178595.1.amrfinder,GCA_900178595.1_19789_6_132_genomic.fna,GCA_900178595.1_19789_6_132_protein.faa,GCA_900178595.1_19789_6_132_genomic.gff,
GCA_900178605.1,PDT000024639.1,GCA_900178605.1.amrfinder,GCA_900178605.1_19789_6_114_genomic.fna,GCA_900178605.1_19789_6_114_protein.faa,GCA_900178605.1_19789_6_114_genomic.gff,
GCA_900178615.1,PDT000024634.1,GCA_900178615.1.amrfinder,GCA_900178615.1_19789_6_115_genomic.fna,GCA_900178615.1_19789_6_115_protein.faa,GCA_900178615.1_19789_6_115_genomic.gff,
