string_field_0,string_field_1,string_field_2,string_field_3
PDS000000116.2,PDT000003585.1,SAMEA4554007,
PDS000000116.2,PDT000003665.1,SAMEA4554087,
PDS000000116.2,PDT000003791.1,SAMEA104151558,
PDS000000116.2,PDT000003792.1,SAMEA104151555,
PDS000000116.2,PDT000003795.1,SAMEA104151559,
PDS000000116.2,PDT000003797.1,SAMEA104151557,
PDS000000116.2,PDT000003827.1,SAMEA104668241,
PDS000000116.2,PDT000003828.1,SAMEA104668246,
PDS000000116.2,PDT000003829.1,SAMEA104668247,
PDS000000116.2,PDT000003831.1,SAMEA104668249,
PDS000000116.2,PDT000003836.1,SAMEA104668254,
PDS000000116.2,PDT000003917.1,SAMEA104671194,
PDS000000116.2,PDT000004101.1,SAMEA104693481,
PDS000000116.2,PDT000004162.1,SAMEA104694012,
PDS000000116.2,PDT000004164.1,SAMEA104694014,
PDS000000116.2,PDT000004247.1,SAMEA104703714,
PDS000000116.2,PDT000004248.1,SAMEA104703715,
PDS000000116.2,PDT000004249.1,SAMEA104703716,
PDS000000116.2,PDT000004250.1,SAMEA104703748,
PDS000000116.2,PDT000004251.1,SAMEA104703749,
PDS000000116.2,PDT000004252.1,SAMEA104703750,
PDS000000116.2,PDT000004253.1,SAMEA104703751,
PDS000000116.2,PDT000004254.1,SAMEA104703752,
PDS000000116.2,PDT000004255.1,SAMEA104703753,
PDS000000116.2,PDT000004258.1,SAMEA104703756,
PDS000000116.2,PDT000004259.1,SAMEA104703757,
PDS000000116.2,PDT000004261.1,SAMEA104703849,
PDS000000116.2,PDT000004262.1,SAMEA104703855,
PDS000000116.2,PDT000004285.1,SAMEA104703878,
PDS000000116.2,PDT000004304.1,SAMEA104712327,
PDS000000116.2,PDT000004305.1,SAMEA104712328,
PDS000000116.2,PDT000004306.1,SAMEA104712333,
PDS000000116.2,PDT000004785.1,SAMEA1064373,
PDS000000116.2,PDT000004790.1,SAMEA1064378,
PDS000000116.2,PDT000004810.1,SAMEA1064398,
PDS000000116.2,PDT000004849.1,SAMEA1066469,
PDS000000116.2,PDT000004851.1,SAMEA1066471,
PDS000000116.2,PDT000005347.1,SAMEA4885358,
PDS000000116.2,PDT000005359.1,SAMEA4885151,
PDS000000116.2,PDT000005386.1,SAMEA4885043,
PDS000000116.2,PDT000005388.1,SAMEA4885481,
PDS000000116.2,PDT000005530.2,SAMEA4885765,
PDS000000116.2,PDT000005574.1,SAMEA4885552,
PDS000000116.2,PDT000005584.1,SAMEA4885155,
PDS000000116.2,PDT000005632.1,SAMEA4885563,
PDS000000116.2,PDT000005652.1,SAMEA4885717,
PDS000000116.2,PDT000005680.1,SAMEA4885632,
PDS000000116.2,PDT000005698.1,SAMEA4885792,
PDS000000116.2,PDT000005704.1,SAMEA4885248,
PDS000000116.2,PDT000005712.1,SAMEA4885153,
PDS000000116.2,PDT000005714.1,SAMEA4885250,
PDS000000116.2,PDT000005731.1,SAMEA4885159,
PDS000000116.2,PDT000005732.1,SAMEA4885215,
PDS000000116.2,PDT000005747.1,SAMEA4885157,
PDS000000116.2,PDT000005798.2,SAMEA4885212,
PDS000000116.2,PDT000005823.1,SAMEA4885410,
PDS000000116.2,PDT000005840.1,SAMEA4885791,
PDS000000116.2,PDT000005855.1,SAMEA4885141,
PDS000000116.2,PDT000005881.1,SAMEA4885802,
PDS000000116.2,PDT000005921.1,SAMEA4885196,
PDS000000116.2,PDT000005930.1,SAMEA4885956,
PDS000000116.2,PDT000005954.1,SAMEA4885538,
PDS000000116.2,PDT000005983.1,SAMEA4885699,
PDS000000116.2,PDT000005997.2,SAMEA4885536,
PDS000000116.2,PDT000006000.1,SAMEA4885180,
PDS000000116.2,PDT000006026.1,SAMEA4885650,
PDS000000116.2,PDT000006052.1,SAMEA4885975,
PDS000000116.2,PDT000006073.1,SAMEA4885761,
PDS000000116.2,PDT000006101.1,SAMEA4885537,
PDS000000116.2,PDT000006102.1,SAMEA4885178,
PDS000000116.2,PDT000006125.1,SAMEA4885539,
PDS000000116.2,PDT000006165.1,SAMEA4885783,
PDS000000116.2,PDT000006187.1,SAMEA4885790,
PDS000000116.2,PDT000006220.1,SAMEA4885302,
PDS000000116.2,PDT000006259.1,SAMEA4885324,
PDS000000116.2,PDT000006266.1,SAMEA4885150,
PDS000000116.2,PDT000006291.1,SAMEA4885554,
PDS000000116.2,PDT000006396.2,SAMEA4885137,
PDS000000116.2,PDT000006420.1,SAMEA4885191,
PDS000000116.2,PDT000006451.1,SAMEA4885667,
PDS000000116.2,PDT000006498.1,SAMEA4885598,
PDS000000116.2,PDT000006511.1,SAMEA4885564,
PDS000000116.2,PDT000006526.1,SAMEA4885183,
PDS000000116.2,PDT000006537.1,SAMEA4885154,
PDS000000116.2,PDT000006551.1,SAMEA4885158,
PDS000000116.2,PDT000006565.1,SAMEA4885139,
PDS000000116.2,PDT000006578.2,SAMEA4885661,
PDS000000116.2,PDT000006596.1,SAMEA4885187,
PDS000000116.2,PDT000006641.1,SAMEA4885179,
PDS000000116.2,PDT000006693.1,SAMEA4885574,
PDS000000116.2,PDT000006713.1,SAMEA4885152,
PDS000000116.2,PDT000006714.1,SAMEA4885555,
PDS000000116.2,PDT000006740.1,SAMEA4885782,
PDS000000116.2,PDT000006744.1,SAMEA4885210,
PDS000000116.2,PDT000006762.1,SAMEA4885149,
PDS000000116.2,PDT000006780.1,SAMEA4885470,
PDS000000116.2,PDT000006784.1,SAMEA4885325,
PDS000000116.2,PDT000006786.1,SAMEA4885623,
PDS000000116.2,PDT000006803.1,SAMEA4885572,
PDS000000116.2,PDT000006805.2,SAMEA4885204,
PDS000000116.2,PDT000006811.1,SAMEA4885573,
PDS000000116.2,PDT000006828.1,SAMEA4885492,
PDS000000116.2,PDT000006928.1,SAMEA4886029,
PDS000000116.2,PDT000007065.1,SAMEA5128228,
PDS000000116.2,PDT000007076.1,SAMEA5128259,
PDS000000116.2,PDT000007078.1,SAMEA5128260,
PDS000000116.2,PDT000007100.1,SAMEA5166659,
PDS000000116.2,PDT000007101.1,SAMEA5166660,
PDS000000116.2,PDT000007102.1,SAMEA5166661,
PDS000000116.2,PDT000007103.1,SAMEA5166662,
PDS000000116.2,PDT000007104.1,SAMEA5166663,
PDS000000116.2,PDT000007105.1,SAMEA5166664,
PDS000000116.2,PDT000007106.1,SAMEA5166665,
PDS000000116.2,PDT000007107.2,SAMEA5166666,
PDS000000116.2,PDT000007122.1,SAMEA5223879,
PDS000000116.2,PDT000007130.1,SAMEA5223887,
PDS000000116.2,PDT000007131.1,SAMEA5223888,
PDS000000116.2,PDT000007134.1,SAMEA5223891,
PDS000000116.2,PDT000007136.1,SAMEA5223893,
PDS000000116.2,PDT000007138.1,SAMEA5223895,
PDS000000116.2,PDT000007139.1,SAMEA5223896,
PDS000000116.2,PDT000007141.2,SAMEA5223898,
PDS000000116.2,PDT000007150.1,SAMEA5223907,
PDS000000116.2,PDT000007185.1,SAMEA5223942,
PDS000000116.2,PDT000007187.1,SAMEA5223944,
PDS000000116.2,PDT000007192.1,SAMEA5223949,
PDS000000116.2,PDT000007195.1,SAMEA5223952,
PDS000000116.2,PDT000007196.1,SAMEA5223953,
PDS000000116.2,PDT000007197.1,SAMEA5223954,
PDS000000116.2,PDT000007198.1,SAMEA5223955,
PDS000000116.2,PDT000007201.1,SAMEA5223958,
PDS000000116.2,PDT000007202.1,SAMEA5223959,
PDS000000116.2,PDT000007203.1,SAMEA5223960,
PDS000000116.2,PDT000007207.1,SAMEA5223964,
PDS000000116.2,PDT000007208.1,SAMEA5223965,
PDS000000116.2,PDT000007209.1,SAMEA5223966,
PDS000000116.2,PDT000007212.1,SAMEA5223969,
PDS000000116.2,PDT000007215.1,SAMEA5223972,
PDS000000116.2,PDT000007219.1,SAMEA5223976,
PDS000000116.2,PDT000007220.1,SAMEA5223977,
PDS000000116.2,PDT000007221.1,SAMEA5223978,
PDS000000116.2,PDT000007222.1,SAMEA5223979,
PDS000000116.2,PDT000007224.1,SAMEA5223981,
PDS000000116.2,PDT000007225.1,SAMEA5223982,
PDS000000116.2,PDT000007230.1,SAMEA5223987,
PDS000000116.2,PDT000007231.1,SAMEA5223988,
PDS000000116.2,PDT000007232.1,SAMEA5223989,
PDS000000116.2,PDT000007233.1,SAMEA5223990,
PDS000000116.2,PDT000007234.1,SAMEA5223991,
PDS000000116.2,PDT000007235.1,SAMEA5223992,
PDS000000116.2,PDT000007236.1,SAMEA5223993,
PDS000000116.2,PDT000007238.1,SAMEA5223995,
PDS000000116.2,PDT000007240.1,SAMEA5223997,
PDS000000116.2,PDT000007242.1,SAMEA5223999,
PDS000000116.2,PDT000007243.1,SAMEA5224000,
PDS000000116.2,PDT000007245.1,SAMEA5224002,
PDS000000116.2,PDT000007251.1,SAMEA5224008,
PDS000000116.2,PDT000007254.1,SAMEA5224011,
PDS000000116.2,PDT000007256.2,SAMEA5224013,
PDS000000116.2,PDT000007259.1,SAMEA5224016,
PDS000000116.2,PDT000007262.1,SAMEA5224019,
PDS000000116.2,PDT000007265.1,SAMEA5224022,
PDS000000116.2,PDT000007271.1,SAMEA5224028,
PDS000000116.2,PDT000007285.1,SAMEA5224042,
PDS000000116.2,PDT000007309.1,SAMEA5224066,
PDS000000116.2,PDT000007310.1,SAMEA5224067,
PDS000000116.2,PDT000007311.2,SAMEA5224068,
PDS000000116.2,PDT000007312.1,SAMEA5224069,
PDS000000116.2,PDT000007313.1,SAMEA5224070,
PDS000000116.2,PDT000007316.1,SAMEA5224073,
PDS000000116.2,PDT000007324.2,SAMEA5224081,
PDS000000116.2,PDT000007355.2,SAMEA5224119,
PDS000000116.2,PDT000007363.1,SAMEA5224132,
PDS000000116.2,PDT000007396.1,SAMEA5224183,
PDS000000116.2,PDT000007432.1,SAMEA5224227,
PDS000000116.2,PDT000007993.1,SAMEA5368727,
PDS000000116.2,PDT000007994.1,SAMEA5368726,
PDS000000116.2,PDT000007996.1,SAMEA5368724,
PDS000000116.2,PDT000007998.1,SAMEA5368721,
PDS000000116.2,PDT000008002.1,SAMEA5368720,
PDS000000116.2,PDT000008004.1,SAMEA5368741,
PDS000000116.2,PDT000008013.1,SAMEA5368731,
PDS000000116.2,PDT000008014.1,SAMEA5368719,
PDS000000116.2,PDT000008015.1,SAMEA5368715,
PDS000000116.2,PDT000008018.1,SAMEA5368711,
PDS000000116.2,PDT000008020.1,SAMEA5368712,
PDS000000116.2,PDT000008026.1,SAMEA5368709,
PDS000000116.2,PDT000008027.1,SAMEA5368706,
PDS000000116.2,PDT000008028.1,SAMEA5368707,
PDS000000116.2,PDT000008029.1,SAMEA5368701,
PDS000000116.2,PDT000008032.1,SAMEA5368703,
PDS000000116.2,PDT000008033.1,SAMEA5368702,
PDS000000116.2,PDT000008034.1,SAMEA5368069,
PDS000000116.2,PDT000008044.1,SAMEA5368063,
PDS000000116.2,PDT000008050.1,SAMEA5368066,
PDS000000116.2,PDT000008058.1,SAMEA5367947,
PDS000000116.2,PDT000008059.1,SAMEA5367774,
PDS000000116.2,PDT000008060.1,SAMEA5368070,
PDS000000116.2,PDT000008061.1,SAMEA5367858,
PDS000000116.2,PDT000008062.1,SAMEA5368087,
PDS000000116.2,PDT000008063.1,SAMEA5368068,
PDS000000116.2,PDT000008079.1,SAMEA5368086,
PDS000000116.2,PDT000008080.1,SAMEA5368090,
PDS000000116.2,PDT000008081.1,SAMEA5367941,
PDS000000116.2,PDT000008082.1,SAMEA5367895,
PDS000000116.2,PDT000008083.1,SAMEA5367965,
PDS000000116.2,PDT000008084.1,SAMEA5368071,
PDS000000116.2,PDT000008112.1,SAMEA5367847,
PDS000000116.2,PDT000008113.1,SAMEA5367775,
PDS000000116.2,PDT000008114.1,SAMEA5368263,
PDS000000116.2,PDT000008115.1,SAMEA5367815,
PDS000000116.2,PDT000008129.1,SAMEA5368031,
PDS000000116.2,PDT000008130.1,SAMEA5368029,
PDS000000116.2,PDT000008131.2,SAMEA5368247,
PDS000000116.2,PDT000008132.1,SAMEA5368044,
PDS000000116.2,PDT000008137.2,SAMEA5368355,
PDS000000116.2,PDT000008138.1,SAMEA5368390,
PDS000000116.2,PDT000008139.1,SAMEA5368133,
PDS000000116.2,PDT000008140.1,SAMEA5368281,
PDS000000116.2,PDT000008141.1,SAMEA5368149,
PDS000000116.2,PDT000008142.1,SAMEA5368290,
PDS000000116.2,PDT000008143.1,SAMEA5368270,
PDS000000116.2,PDT000008154.1,SAMEA5367988,
PDS000000116.2,PDT000008155.2,SAMEA5367948,
PDS000000116.2,PDT000008156.1,SAMEA5367979,
PDS000000116.2,PDT000008157.1,SAMEA5367903,
PDS000000116.2,PDT000008158.1,SAMEA5367932,
PDS000000116.2,PDT000008159.1,SAMEA5367971,
PDS000000116.2,PDT000008163.1,SAMEA5368008,
PDS000000116.2,PDT000008194.1,SAMEA5368005,
PDS000000116.2,PDT000008198.1,SAMEA5367791,
PDS000000116.2,PDT000008199.1,SAMEA5367810,
PDS000000116.2,PDT000008200.1,SAMEA5367790,
PDS000000116.2,PDT000008201.1,SAMEA5367812,
PDS000000116.2,PDT000008203.1,SAMEA5367811,
PDS000000116.2,PDT000008204.1,SAMEA5367788,
PDS000000116.2,PDT000008232.1,SAMEA5368076,
PDS000000116.2,PDT000008233.1,SAMEA5368050,
PDS000000116.2,PDT000008243.1,SAMEA5368397,
PDS000000116.2,PDT000008244.1,SAMEA5368387,
PDS000000116.2,PDT000008249.1,SAMEA5368779,
PDS000000116.2,PDT000008250.2,SAMEA5368780,
PDS000000116.2,PDT000008251.1,SAMEA5368781,
PDS000000116.2,PDT000008252.1,SAMEA5368785,
PDS000000116.2,PDT000008254.2,SAMEA5368682,
PDS000000116.2,PDT000008255.1,SAMEA5368649,
PDS000000116.2,PDT000008256.1,SAMEA5368681,
PDS000000116.2,PDT000008257.1,SAMEA5368784,
PDS000000116.2,PDT000008258.1,SAMEA5368783,
PDS000000116.2,PDT000008260.1,SAMEA5368680,
PDS000000116.2,PDT000008261.1,SAMEA5368648,
PDS000000116.2,PDT000008262.1,SAMEA5368683,
PDS000000116.2,PDT000008264.1,SAMEA5368665,
PDS000000116.2,PDT000008265.1,SAMEA5368674,
PDS000000116.2,PDT000008266.1,SAMEA5368679,
PDS000000116.2,PDT000008267.1,SAMEA5368667,
PDS000000116.2,PDT000008268.1,SAMEA5368650,
PDS000000116.2,PDT000008272.1,SAMEA5368788,
PDS000000116.2,PDT000008274.1,SAMEA5368763,
PDS000000116.2,PDT000008276.1,SAMEA5368771,
PDS000000116.2,PDT000008278.1,SAMEA5368641,
PDS000000116.2,PDT000008279.2,SAMEA5368775,
PDS000000116.2,PDT000008281.1,SAMEA5368645,
PDS000000116.2,PDT000008282.1,SAMEA5368686,
PDS000000116.2,PDT000008284.1,SAMEA5368663,
PDS000000116.2,PDT000008285.1,SAMEA5368678,
PDS000000116.2,PDT000008286.1,SAMEA5368659,
PDS000000116.2,PDT000008291.1,SAMEA5368769,
PDS000000116.2,PDT000008294.1,SAMEA5368777,
PDS000000116.2,PDT000008295.1,SAMEA5368778,
PDS000000116.2,PDT000008297.1,SAMEA5368764,
PDS000000116.2,PDT000008300.1,SAMEA5368800,
PDS000000116.2,PDT000008301.1,SAMEA5368766,
PDS000000116.2,PDT000008306.1,SAMEA5368640,
PDS000000116.2,PDT000008307.1,SAMEA5368693,
PDS000000116.2,PDT000008308.1,SAMEA5368690,
PDS000000116.2,PDT000008309.1,SAMEA5368725,
PDS000000116.2,PDT000008310.1,SAMEA5368691,
PDS000000116.2,PDT000008311.1,SAMEA5368646,
PDS000000116.2,PDT000008312.1,SAMEA5368675,
PDS000000116.2,PDT000008313.2,SAMEA5368745,
PDS000000116.2,PDT000008314.1,SAMEA5368658,
PDS000000116.2,PDT000008315.1,SAMEA5368661,
PDS000000116.2,PDT000008316.2,SAMEA5368642,
PDS000000116.2,PDT000008317.1,SAMEA5368684,
PDS000000116.2,PDT000008318.1,SAMEA5368744,
PDS000000116.2,PDT000008319.1,SAMEA5368643,
PDS000000116.2,PDT000008320.1,SAMEA5368676,
PDS000000116.2,PDT000008321.1,SAMEA5368677,
PDS000000116.2,PDT000008323.1,SAMEA5368758,
PDS000000116.2,PDT000008324.1,SAMEA5368757,
PDS000000116.2,PDT000008325.1,SAMEA5368637,
PDS000000116.2,PDT000008327.1,SAMEA5368639,
PDS000000116.2,PDT000008335.2,SAMEA5368797,
PDS000000116.2,PDT000008336.1,SAMEA5368798,
PDS000000116.2,PDT000008337.1,SAMEA5368754,
PDS000000116.2,PDT000008338.1,SAMEA5368644,
PDS000000116.2,PDT000008339.1,SAMEA5368672,
PDS000000116.2,PDT000008340.1,SAMEA5368796,
PDS000000116.2,PDT000008341.1,SAMEA5368651,
PDS000000116.2,PDT000008342.1,SAMEA5368652,
PDS000000116.2,PDT000008346.1,SAMEA5368666,
PDS000000116.2,PDT000008347.1,SAMEA5368653,
PDS000000116.2,PDT000008349.1,SAMEA5368794,
PDS000000116.2,PDT000008350.2,SAMEA5368795,
PDS000000116.2,PDT000008352.1,SAMEA5368761,
PDS000000116.2,PDT000008354.1,SAMEA5368749,
PDS000000116.2,PDT000008355.1,SAMEA5368753,
PDS000000116.2,PDT000008356.1,SAMEA5368756,
PDS000000116.2,PDT000008357.1,SAMEA5368751,
PDS000000116.2,PDT000008358.1,SAMEA5368791,
PDS000000116.2,PDT000008360.1,SAMEA5368694,
PDS000000116.2,PDT000008362.1,SAMEA5368134,
PDS000000116.2,PDT000008363.1,SAMEA5368147,
PDS000000116.2,PDT000008366.1,SAMEA5368146,
PDS000000116.2,PDT000008367.1,SAMEA5368190,
PDS000000116.2,PDT000008372.1,SAMEA5368137,
PDS000000116.2,PDT000008373.1,SAMEA5368171,
PDS000000116.2,PDT000008411.1,SAMEA5368189,
PDS000000116.2,PDT000008424.1,SAMEA5368132,
PDS000000116.2,PDT000008428.1,SAMEA5368136,
PDS000000116.2,PDT000008429.1,SAMEA5368122,
PDS000000116.2,PDT000008438.1,SAMEA5368144,
PDS000000116.2,PDT000008439.1,SAMEA5368110,
PDS000000116.2,PDT000008440.2,SAMEA5368173,
PDS000000116.2,PDT000008443.1,SAMEA5367933,
PDS000000116.2,PDT000008455.1,SAMEA5368395,
PDS000000116.2,PDT000008456.1,SAMEA5367800,
PDS000000116.2,PDT000008457.1,SAMEA5367797,
PDS000000116.2,PDT000008458.1,SAMEA5367803,
PDS000000116.2,PDT000008480.1,SAMEA5368214,
PDS000000116.2,PDT000008481.1,SAMEA5368223,
PDS000000116.2,PDT000008483.1,SAMEA5368204,
PDS000000116.2,PDT000008488.1,SAMEA5368304,
PDS000000116.2,PDT000008492.1,SAMEA5368306,
PDS000000116.2,PDT000008507.1,SAMEA5368393,
PDS000000116.2,PDT000008510.1,SAMEA5368480,
PDS000000116.2,PDT000008511.1,SAMEA5368394,
PDS000000116.2,PDT000008512.1,SAMEA5367795,
PDS000000116.2,PDT000008514.1,SAMEA5368481,
PDS000000116.2,PDT000008532.1,SAMEA5368253,
PDS000000116.2,PDT000008549.1,SAMEA5367796,
PDS000000116.2,PDT000008550.1,SAMEA5368488,
PDS000000116.2,PDT000008553.1,SAMEA5368495,
PDS000000116.2,PDT000008555.1,SAMEA5367802,
PDS000000116.2,PDT000008577.1,SAMEA5368277,
PDS000000116.2,PDT000008597.1,SAMEA5367930,
PDS000000116.2,PDT000008598.1,SAMEA5368299,
PDS000000116.2,PDT000008606.2,SAMEA5368292,
PDS000000116.2,PDT000008607.2,SAMEA5368284,
PDS000000116.2,PDT000008609.1,SAMEA5368287,
PDS000000116.2,PDT000008612.1,SAMEA5368389,
PDS000000116.2,PDT000008613.1,SAMEA5368746,
PDS000000116.2,PDT000008614.1,SAMEA5368669,
PDS000000116.2,PDT000008617.1,SAMEA5368688,
PDS000000116.2,PDT000008618.2,SAMEA5368687,
PDS000000116.2,PDT000008619.1,SAMEA5368689,
PDS000000116.2,PDT000008620.1,SAMEA5368695,
PDS000000116.2,PDT000008731.1,SAMEA5368605,
PDS000000116.2,PDT000008734.2,SAMEA5368440,
PDS000000116.2,PDT000008758.1,SAMEA5368358,
PDS000000116.2,PDT000008794.1,SAMEA5368343,
PDS000000116.2,PDT000008815.1,SAMEA5368516,
PDS000000116.2,PDT000008822.1,SAMEA5368371,
PDS000000116.2,PDT000008835.1,SAMEA5368455,
PDS000000116.2,PDT000008836.1,SAMEA5368457,
PDS000000116.2,PDT000008954.1,SAMEA5367916,
PDS000000116.2,PDT000008981.1,SAMEA5367975,
PDS000000116.2,PDT000008992.1,SAMEA5367976,
PDS000000116.2,PDT000009006.1,SAMEA5367993,
PDS000000116.2,PDT000009017.1,SAMEA5368696,
PDS000000116.2,PDT000009018.1,SAMEA5368767,
PDS000000116.2,PDT000009137.1,SAMEA2145897,
PDS000000116.2,PDT000009910.1,SAMEA2144482,
PDS000000116.2,PDT000009962.1,SAMEA2149053,
PDS000000116.2,PDT000010507.1,SAMEA3180369,
PDS000000116.2,PDT000010822.1,SAMEA3297707,
PDS000000116.2,PDT000010825.1,SAMEA3297710,
PDS000000116.2,PDT000010826.1,SAMEA3297711,
PDS000000116.2,PDT000010827.1,SAMEA3296591,
PDS000000116.2,PDT000023107.1,SAMN11579778,
PDS000000116.2,PDT000023108.1,SAMN11579777,
PDS000000116.2,PDT000023109.1,SAMN11579758,
PDS000000116.2,PDT000023110.1,SAMN11579757,
PDS000000116.2,PDT000023111.1,SAMN11579756,
PDS000000116.2,PDT000023112.1,SAMN11579755,
PDS000000116.2,PDT000023119.1,SAMN11579852,
PDS000000116.2,PDT000023124.1,SAMN11580814,
PDS000000116.2,PDT000023125.1,SAMN11579855,
PDS000000116.2,PDT000023131.1,SAMN11579796,
PDS000000116.2,PDT000023132.1,SAMN11579797,
PDS000000116.2,PDT000023133.1,SAMN11579798,
PDS000000116.2,PDT000023134.1,SAMN11579799,
PDS000000116.2,PDT000023136.1,SAMN11579801,
PDS000000116.2,PDT000023137.1,SAMN11579849,
PDS000000116.2,PDT000023144.2,SAMN11579811,
PDS000000116.2,PDT000023145.1,SAMN11579789,
PDS000000116.2,PDT000023146.1,SAMN11579788,
PDS000000116.2,PDT000023148.1,SAMN11579790,
PDS000000116.2,PDT000023149.1,SAMN11579784,
PDS000000116.2,PDT000023151.1,SAMN11579787,
PDS000000116.2,PDT000023152.1,SAMN11579786,
PDS000000116.2,PDT000023154.1,SAMN11579814,
PDS000000116.2,PDT000023155.1,SAMN11579813,
PDS000000116.2,PDT000023160.1,SAMN11579804,
PDS000000110.2,PDT000000062.1,SAMEA3304554,
PDS000000110.2,PDT000000132.1,SAMEA3614335,
PDS000000110.2,PDT000000133.2,SAMEA3614336,
PDS000000110.2,PDT000000134.1,SAMEA3614337,
PDS000000110.2,PDT000000135.1,SAMEA3614338,
PDS000000110.2,PDT000000621.1,SAMEA3716792,
PDS000000110.2,PDT000000623.1,SAMEA3716794,
PDS000000110.2,PDT000000635.1,SAMEA3716826,
PDS000000110.2,PDT000000637.1,SAMEA3716828,
PDS000000110.2,PDT000000642.1,SAMEA3716833,
PDS000000110.2,PDT000000650.1,SAMEA3716841,
PDS000000110.2,PDT000000653.1,SAMEA3716844,
PDS000000110.2,PDT000000657.1,SAMEA3716848,
PDS000000110.2,PDT000000660.1,SAMEA3716851,
PDS000000110.2,PDT000000703.1,SAMEA3716896,
PDS000000110.2,PDT000000705.1,SAMEA3716898,
PDS000000110.2,PDT000000717.1,SAMEA3716910,
PDS000000110.2,PDT000000721.1,SAMEA3716916,
PDS000000110.2,PDT000000722.1,SAMEA3716917,
PDS000000110.2,PDT000000727.1,SAMEA3716929,
PDS000000110.2,PDT000000729.2,SAMEA3716931,
PDS000000110.2,PDT000000733.1,SAMEA3716935,
PDS000000110.2,PDT000000734.1,SAMEA3716936,
PDS000000110.2,PDT000000741.1,SAMEA3716945,
PDS000000110.2,PDT000000746.1,SAMEA3716950,
PDS000000110.2,PDT000000747.1,SAMEA3716951,
PDS000000110.2,PDT000000766.1,SAMEA3716970,
PDS000000110.2,PDT000000775.2,SAMEA3716979,
PDS000000110.2,PDT000000786.1,SAMEA3716990,
PDS000000110.2,PDT000000793.1,SAMEA3716997,
PDS000000110.2,PDT000000796.2,SAMEA3717000,
PDS000000110.2,PDT000000811.1,SAMEA3717015,
PDS000000110.2,PDT000000814.1,SAMEA3717018,
PDS000000110.2,PDT000000816.1,SAMEA3717020,
PDS000000110.2,PDT000000818.1,SAMEA3717022,
PDS000000110.2,PDT000001002.1,SAMEA3916015,
PDS000000110.2,PDT000001004.1,SAMEA3916017,
PDS000000110.2,PDT000001010.1,SAMEA3916023,
PDS000000110.2,PDT000001274.1,SAMEA3916468,
PDS000000110.2,PDT000001275.1,SAMEA3916470,
PDS000000110.2,PDT000001276.1,SAMEA3916471,
PDS000000110.2,PDT000001987.2,SAMEA3893590,
PDS000000110.2,PDT000001992.1,SAMEA3893604,
PDS000000110.2,PDT000002092.1,SAMEA3893701,
PDS000000110.2,PDT000002097.1,SAMEA3893710,
PDS000000110.2,PDT000002256.1,SAMEA3942000,
PDS000000110.2,PDT000002257.1,SAMEA3942001,
PDS000000110.2,PDT000002258.1,SAMEA3942002,
PDS000000110.2,PDT000002531.1,SAMEA3894289,
PDS000000110.2,PDT000002532.1,SAMEA3894290,
PDS000000110.2,PDT000002533.1,SAMEA3894291,
PDS000000110.2,PDT000002534.2,SAMEA3894292,
PDS000000110.2,PDT000002535.2,SAMEA3894293,
PDS000000110.2,PDT000003801.1,SAMEA104415065,
PDS000000110.2,PDT000003802.1,SAMEA104415066,
PDS000000110.2,PDT000003803.1,SAMEA104415067,
PDS000000110.2,PDT000003804.1,SAMEA104415068,
PDS000000110.2,PDT000003805.1,SAMEA104415069,
PDS000000110.2,PDT000003806.1,SAMEA104415070,
PDS000000110.2,PDT000003808.1,SAMEA104415072,
PDS000000110.2,PDT000003809.1,SAMEA104415073,
PDS000000110.2,PDT000003810.1,SAMEA104415074,
PDS000000110.2,PDT000003811.1,SAMEA104415075,
PDS000000110.2,PDT000003812.1,SAMEA104415076,
PDS000000110.2,PDT000003813.1,SAMEA104415077,
PDS000000110.2,PDT000003814.1,SAMEA104415078,
PDS000000110.2,PDT000003815.1,SAMEA104415079,
PDS000000110.2,PDT000003816.1,SAMEA104415080,
PDS000000110.2,PDT000003817.1,SAMEA104415081,
PDS000000110.2,PDT000003818.1,SAMEA104415082,
PDS000000110.2,PDT000003821.1,SAMEA104415085,
PDS000000110.2,PDT000003822.1,SAMEA104415086,
PDS000000110.2,PDT000003823.1,SAMEA104415087,
PDS000000110.2,PDT000003824.1,SAMEA104415088,
PDS000000110.2,PDT000003825.1,SAMEA104415089,
PDS000000110.2,PDT000003826.1,SAMEA104415090,
PDS000000110.2,PDT000003830.1,SAMEA104668248,
PDS000000110.2,PDT000003834.1,SAMEA104668252,
PDS000000110.2,PDT000003840.1,SAMEA104668274,
PDS000000110.2,PDT000003841.1,SAMEA104668275,
PDS000000110.2,PDT000003842.1,SAMEA104668276,
PDS000000110.2,PDT000003843.1,SAMEA104668277,
PDS000000110.2,PDT000003847.1,SAMEA104668281,
PDS000000110.2,PDT000003848.1,SAMEA104668282,
PDS000000110.2,PDT000003858.1,SAMEA104668299,
PDS000000110.2,PDT000003868.1,SAMEA104668383,
PDS000000110.2,PDT000003869.1,SAMEA104668384,
PDS000000110.2,PDT000003870.1,SAMEA104668385,
PDS000000110.2,PDT000003871.1,SAMEA104668386,
PDS000000110.2,PDT000003872.1,SAMEA104668387,
PDS000000110.2,PDT000003873.1,SAMEA104668388,
PDS000000110.2,PDT000003874.1,SAMEA104668389,
PDS000000110.2,PDT000003875.1,SAMEA104668390,
PDS000000110.2,PDT000003876.1,SAMEA104668391,
PDS000000110.2,PDT000003877.1,SAMEA104670926,
